Geneid,GSM5290389_Snr1KD_RNA-seq_Ov_rep1,GSM5290390_Snr1KD_RNA-seq_Ov_rep2,GSM5290391_mod_mdg4KD_RNA-seq_Ov_rep1,GSM5290392_mod_mdg4KD_RNA-seq_Ov_rep2
FBgn0051721,30,30,67,72
FBgn0051992,40192,56567,43929,44715
FBgn0028341,7344,6250,10762,9792
FBgn0032974,10384,13228,11782,11540
FBgn0029870,15302,15976,22608,22271
FBgn0035001,9084,9727,12548,13117
FBgn0032666,233,315,1195,1421
FBgn0026533,20580,26277,29212,27785
FBgn0036534,15672,20294,21696,23174
FBgn0036144,6590,7059,12221,11565
FBgn0033265,1807,2722,2965,3003
FBgn0038139,13,7,4,1
FBgn0027529,10364,11022,11825,11377
FBgn0031802,0,0,0,0
FBgn0037234,6401,7760,8367,7807
FBgn0030641,16,10,15,9
FBgn0029736,3155,2628,5016,4550
FBgn0030662,213,216,745,838
FBgn0035978,17474,19639,13224,12631
FBgn0031530,201,191,647,773
FBgn0037100,0,0,1,0
FBgn0032957,1627,2025,1953,2004
FBgn0034417,467,389,664,625
FBgn0031294,18,15,46,48
FBgn0000542,279,197,924,1052
FBgn0050372,7969,7555,10079,9630
FBgn0030844,0,0,0,0
FBgn0031536,2572,2515,2907,2765
FBgn0039675,0,0,0,0
FBgn0039676,5,4,3,4
FBgn0020279,31043,23859,51674,51779
FBgn0015777,548,689,1442,1510
FBgn0020546,0,0,1,1
FBgn0011998,0,0,0,0
FBgn0052547,17,14,18,11
FBgn0037560,240,336,376,298
FBgn0029105,4,2,7,9
FBgn0038570,0,0,0,0
FBgn0038571,0,0,0,0
FBgn0039308,0,0,0,0
FBgn0039309,0,0,0,0
FBgn0036170,0,0,0,0
FBgn0036169,0,0,0,0
FBgn0031039,0,0,0,0
FBgn0031038,0,0,0,0
FBgn0053155,9,6,11,4
FBgn0050481,0,0,0,0
FBgn0013576,16777,18141,35285,35809
FBgn0043002,2733,2553,5458,4461
FBgn0002887,4344,5226,6042,5830
FBgn0053095,0,0,0,0
FBgn0053626,0,0,0,0
FBgn0053627,0,0,0,0
FBgn0053267,12,25,24,22
FBgn0065047,15,7,8,1
FBgn0053630,0,0,0,0
FBgn0053631,0,0,0,0
FBgn0032538,0,1,2,8
FBgn0065080,0,0,0,0
FBgn0065070,1,4,4,3
FBgn0053639,0,0,0,2
FBgn0029948,0,0,1,1
FBgn0053640,0,3,1,0
FBgn0053641,1,2,1,1
FBgn0053642,0,0,0,0
FBgn0053643,0,0,0,0
FBgn0053644,0,0,0,0
FBgn0053645,0,0,0,0
FBgn0035253,8202,6735,13990,13818
FBgn0053647,0,0,0,0
FBgn0053648,0,0,0,2
FBgn0064115,0,0,0,0
FBgn0004407,0,0,0,0
FBgn0053653,365,350,1495,1656
FBgn0035068,0,0,0,0
FBgn0032364,25,18,67,74
FBgn0032365,1,0,1,0
FBgn0053654,0,0,1,1
FBgn0034618,8658,8141,13618,13238
FBgn0037555,12206,12231,14620,14067
FBgn0000153,18,14,24,28
FBgn0015609,366,584,726,911
FBgn0065101,0,0,0,0
FBgn0001223,0,0,0,0
FBgn0001228,2,4,6,0
FBgn0065097,0,0,0,0
FBgn0065092,0,0,0,0
FBgn0065046,66,53,6,31
FBgn0065071,6,9,9,5
FBgn0053664,0,0,0,0
FBgn0053665,0,0,0,0
FBgn0053666,1,0,0,0
FBgn0053667,0,0,0,0
FBgn0053668,0,0,0,0
FBgn0053669,0,0,0,0
FBgn0033380,2993,3010,4235,3822
FBgn0064123,0,0,0,0
FBgn0031159,0,0,0,0
FBgn0061359,0,0,0,0
FBgn0061360,0,0,0,0
FBgn0053673,0,0,0,0
FBgn0065053,24,50,78,61
FBgn0040608,1,0,1,1
FBgn0039452,0,3,1,1
FBgn0067622,0,0,0,0
FBgn0032240,0,0,0,0
FBgn0029859,9,5,4,2
FBgn0029860,1216,754,2045,1757
FBgn0029504,5360,5646,5268,5224
FBgn0041775,174879,174361,289877,296378
FBgn0003507,5434,3414,8328,8562
FBgn0053680,3,3,0,1
FBgn0002524,9010,10570,13046,11921
FBgn0037716,5315,4879,5352,4756
FBgn0002632,0,2,1,1
FBgn0002522,0,0,1,0
FBgn0065098,48,57,35,488
FBgn0039157,1255,1543,1546,1792
FBgn0011676,126,90,165,113
FBgn0065088,0,0,0,0
FBgn0034324,0,0,1,4
FBgn0034325,0,0,0,0
FBgn0053483,0,0,0,0
FBgn0065073,7,9,7,11
FBgn0037913,16808,19462,22558,20688
FBgn0037912,27,34,27,15
FBgn0032888,3,5,10,6
FBgn0051221,2,4,11,9
FBgn0031403,1781,2535,3536,3011
FBgn0065087,0,0,0,0
FBgn0026239,2255,1840,6894,6932
FBgn0051016,0,0,1,5
FBgn0053687,0,0,0,0
FBgn0053688,0,0,0,0
FBgn0053689,0,0,0,0
FBgn0053690,0,0,0,0
FBgn0052423,13892,18187,20817,21083
FBgn0033884,5056,4790,7414,6734
FBgn0065055,19,25,63,71
FBgn0040233,14338,19645,9458,9702
FBgn0052831,2662,2443,4101,3664
FBgn0053696,4,1,1,1
FBgn0052843,7,2,3,2
FBgn0016919,7,0,13,13
FBgn0065095,0,0,0,0
FBgn0036783,0,0,2,1
FBgn0001624,6663,8533,10909,11413
FBgn0053700,0,2,0,1
FBgn0053701,0,0,0,0
FBgn0053702,0,0,0,0
FBgn0053703,0,0,0,0
FBgn0053704,0,1,0,0
FBgn0065100,4,12,5,17
FBgn0260455,0,0,0,0
FBgn0067903,0,0,0,0
FBgn0065105,0,0,0,1
FBgn0039378,0,0,0,0
FBgn0053710,0,0,0,0
FBgn0065084,0,0,0,0
FBgn0065096,0,0,0,0
FBgn0064116,0,0,0,0
FBgn0064117,0,0,0,0
FBgn0065051,0,1,0,0
FBgn0260458,46,65,21,11
FBgn0044419,0,0,1,1
FBgn0046874,0,0,0,0
FBgn0042182,0,0,0,0
FBgn0064126,0,0,0,0
FBgn0260439,27776,28702,41329,40340
FBgn0053723,0,0,0,0
FBgn0053725,0,0,1,0
FBgn0065057,1,5,12,10
FBgn0014163,20598,25156,26175,27117
FBgn0053727,0,0,0,0
FBgn0053728,0,0,0,0
FBgn0053729,0,0,0,0
FBgn0053730,0,0,0,0
FBgn0053731,0,0,0,0
FBgn0053732,0,0,0,0
FBgn0053733,0,0,0,0
FBgn0053734,0,0,0,0
FBgn0053735,0,0,0,0
FBgn0053736,0,0,0,0
FBgn0053737,0,0,0,0
FBgn0053738,0,0,0,0
FBgn0053739,0,0,0,0
FBgn0053740,0,0,0,0
FBgn0053741,0,0,0,0
FBgn0053742,0,0,0,0
FBgn0053743,0,0,0,0
FBgn0053744,0,0,0,0
FBgn0053745,0,0,0,0
FBgn0053746,0,0,0,0
FBgn0040076,0,0,0,0
FBgn0051469,23,36,24,16
FBgn0040077,0,0,0,0
FBgn0034906,4,7,0,0
FBgn0037550,1118,1228,2528,2380
FBgn0065104,0,0,0,0
FBgn0036713,0,0,0,1
FBgn0014857,5222,3877,11988,10930
FBgn0052269,0,0,0,0
FBgn0052270,0,0,0,0
FBgn0034518,0,0,0,0
FBgn0034519,0,0,0,0
FBgn0053752,0,0,0,0
FBgn0053137,10,11,6,5
FBgn0051438,0,0,0,0
FBgn0003742,1712,1864,3033,2981
FBgn0036789,1,0,2,0
FBgn0035486,0,0,0,0
FBgn0045476,0,0,0,0
FBgn0038880,0,0,0,0
FBgn0065064,53,31,141,230
FBgn0029890,235,133,431,409
FBgn0029891,8773,7559,12846,11686
FBgn0029888,2760,2338,6678,5827
FBgn0005672,3008,3493,3264,3131
FBgn0028377,0,0,0,0
FBgn0001099,178,240,354,361
FBgn0053757,2,5,0,1
FBgn0053758,11,10,0,0
FBgn0053764,0,0,0,0
FBgn0053766,0,0,0,0
FBgn0053767,0,0,0,0
FBgn0053768,0,0,0,0
FBgn0053769,0,0,0,0
FBgn0053770,0,0,0,0
FBgn0053771,0,0,0,0
FBgn0051324,326,295,1094,1162
FBgn0052123,0,0,0,0
FBgn0053774,1243,1805,1059,604
FBgn0035497,2180,2596,2592,2500
FBgn0050056,5,4,4,6
FBgn0053777,0,0,0,0
FBgn0065066,1,11,8,13
FBgn0065059,0,0,0,0
FBgn0053783,0,0,0,1
FBgn0053784,0,0,0,0
FBgn0061362,0,0,0,0
FBgn0061361,0,0,0,0
FBgn0039582,0,0,0,0
FBgn0050462,0,0,0,0
FBgn0050461,0,0,0,0
FBgn0035197,0,0,0,0
FBgn0035198,0,0,0,0
FBgn0041720,25,32,5,2
FBgn0025643,9,4,3,0
FBgn0020912,0,0,0,0
FBgn0065083,0,0,0,0
FBgn0063923,81,79,358,287
FBgn0063924,0,0,0,0
FBgn0035239,0,0,0,0
FBgn0035240,0,0,0,0
FBgn0053792,48,68,55,33
FBgn0065081,0,0,0,0
FBgn0065058,4,5,11,13
FBgn0033693,0,0,0,0
FBgn0053795,0,0,0,0
FBgn0053796,0,0,0,0
FBgn0039621,0,1,2,0
FBgn0053463,0,0,0,0
FBgn0051072,4744,6210,5349,5745
FBgn0032077,1212,1659,2026,1593
FBgn0032076,133,150,224,192
FBgn0053797,0,0,0,0
FBgn0033652,93,117,150,136
FBgn0001235,13,18,23,33
FBgn0000056,0,0,0,0
FBgn0053096,188,277,227,235
FBgn0034283,0,0,0,0
FBgn0051386,0,0,0,0
FBgn0053801,0,2,3,1
FBgn0053802,0,0,0,0
FBgn0053803,0,0,0,0
FBgn0051617,0,0,0,1
FBgn0051618,0,0,0,0
FBgn0051613,0,0,0,0
FBgn0053804,0,0,0,0
FBgn0053805,3,11,2,3
FBgn0053806,0,0,0,0
FBgn0053807,0,1,0,0
FBgn0053808,0,0,0,0
FBgn0053809,0,0,0,0
FBgn0053810,0,0,0,0
FBgn0053811,0,0,0,0
FBgn0053812,0,0,0,0
FBgn0053813,0,0,0,1
FBgn0053814,0,0,0,0
FBgn0053815,0,0,0,0
FBgn0053816,0,0,0,0
FBgn0053817,0,0,0,0
FBgn0053818,0,0,0,0
FBgn0053819,0,0,0,0
FBgn0053820,0,0,0,0
FBgn0053821,0,0,0,0
FBgn0053822,0,0,0,0
FBgn0053823,0,0,0,0
FBgn0053824,0,0,0,0
FBgn0053825,0,0,0,0
FBgn0053826,0,0,0,0
FBgn0053827,0,0,0,0
FBgn0053828,0,0,0,0
FBgn0053829,0,0,0,0
FBgn0053830,0,0,0,0
FBgn0053831,0,0,0,0
FBgn0053832,0,0,0,0
FBgn0053833,0,0,0,0
FBgn0053834,1,3,2,0
FBgn0053835,0,0,0,0
FBgn0053836,0,0,0,0
FBgn0053837,0,0,0,0
FBgn0053838,0,0,0,0
FBgn0053839,0,0,0,0
FBgn0053840,0,0,0,0
FBgn0053841,0,0,0,0
FBgn0053842,0,0,0,0
FBgn0053843,0,0,0,0
FBgn0053844,0,0,0,0
FBgn0053845,0,0,0,0
FBgn0053846,0,0,0,0
FBgn0053847,0,0,0,0
FBgn0053848,0,0,0,0
FBgn0053849,0,0,0,0
FBgn0053850,0,0,0,0
FBgn0053851,0,0,0,0
FBgn0053852,0,0,0,0
FBgn0053853,0,0,0,0
FBgn0053854,0,0,0,0
FBgn0053855,0,0,0,0
FBgn0053856,0,0,0,0
FBgn0053857,0,0,0,0
FBgn0053858,0,0,0,0
FBgn0053859,0,0,0,0
FBgn0053860,0,0,0,0
FBgn0053861,0,0,0,0
FBgn0053862,0,0,0,0
FBgn0053863,0,0,0,0
FBgn0053864,0,0,0,0
FBgn0053865,0,0,0,0
FBgn0053866,0,0,0,0
FBgn0051614,3,4,10,4
FBgn0053867,0,0,0,0
FBgn0053868,77,121,217,196
FBgn0053869,0,0,0,0
FBgn0053870,0,0,0,0
FBgn0053871,0,0,0,0
FBgn0053872,0,0,0,0
FBgn0053873,0,0,0,0
FBgn0053874,0,0,0,0
FBgn0053875,0,0,0,0
FBgn0053876,0,0,0,0
FBgn0053877,0,0,0,0
FBgn0053878,0,0,0,0
FBgn0053879,0,0,0,0
FBgn0053880,0,0,0,0
FBgn0053881,0,0,0,0
FBgn0053882,0,0,0,0
FBgn0053883,0,0,0,0
FBgn0053884,0,0,0,0
FBgn0053885,0,0,0,0
FBgn0053886,0,0,0,0
FBgn0053887,0,0,0,0
FBgn0053888,0,0,0,0
FBgn0053889,0,0,0,0
FBgn0053890,0,0,0,0
FBgn0053891,0,0,0,0
FBgn0053892,0,0,0,0
FBgn0053893,0,0,0,0
FBgn0053894,0,0,0,0
FBgn0053895,0,0,0,0
FBgn0053896,0,0,0,0
FBgn0053897,0,0,0,0
FBgn0053898,0,0,0,0
FBgn0053899,0,0,0,0
FBgn0053900,0,0,0,0
FBgn0053901,0,0,0,0
FBgn0053902,0,0,0,0
FBgn0053903,0,0,0,0
FBgn0053904,0,0,0,0
FBgn0053905,0,0,0,0
FBgn0053906,0,0,0,0
FBgn0053907,0,0,0,0
FBgn0053908,0,0,0,0
FBgn0051611,0,0,0,0
FBgn0061209,3,0,2,2
FBgn0053909,0,0,0,0
FBgn0053910,0,0,0,0
FBgn0028991,0,0,0,0
FBgn0053912,0,0,0,0
FBgn0053914,1,4,0,1
FBgn0065107,0,0,0,0
FBgn0025455,14303,14689,13996,14116
FBgn0065102,0,0,0,0
FBgn0065094,0,0,0,0
FBgn0038683,6898,7210,9272,9165
FBgn0038682,1243,1374,1194,1377
FBgn0033628,1,1,1,0
FBgn0033739,3833,3997,4669,4321
FBgn0034081,998,1222,1939,1666
FBgn0029175,2979,3754,2744,2515
FBgn0027358,0,0,0,0
FBgn0031041,0,0,0,0
FBgn0003435,1375,1253,2966,3468
FBgn0024251,13,10,3,7
FBgn0024182,0,0,0,0
FBgn0031455,0,0,0,0
FBgn0031454,0,0,0,0
FBgn0053476,0,0,3,1
FBgn0053919,0,4,2,0
FBgn0038032,0,0,0,0
FBgn0038033,0,0,0,0
FBgn0052652,4,9,0,0
FBgn0053920,0,0,0,0
FBgn0051224,13884,13760,13198,13125
FBgn0065048,35,44,22,15
FBgn0011640,9362,7175,16698,15671
FBgn0053922,0,0,0,0
FBgn0053923,0,0,0,0
FBgn0065099,43,23,77,388
FBgn0053926,147,105,515,434
FBgn0053927,1,0,0,0
FBgn0053928,0,5,4,3
FBgn0067311,0,0,0,0
FBgn0024293,28,10,67,66
FBgn0038888,0,0,0,0
FBgn0053929,0,0,0,0
FBgn0065076,76,120,7,12
FBgn0033564,1050,1325,1444,1541
FBgn0061356,10,16,10,11
FBgn0066304,0,0,0,0
FBgn0066303,0,0,0,0
FBgn0260466,0,0,0,0
FBgn0064119,0,0,0,0
FBgn0002709,100,121,302,264
FBgn0028581,0,0,0,0
FBgn0063127,0,0,0,0
FBgn0047095,78,51,113,122
FBgn0062928,4023,4040,9479,7377
FBgn0062961,0,0,0,0
FBgn0047334,10,5,24,17
FBgn0046756,5,9,12,6
FBgn0047000,16,28,44,25
FBgn0083068,614,932,1379,1219
FBgn0063083,0,0,0,0
FBgn0029153,0,0,0,0
FBgn0029154,0,0,0,0
FBgn0004507,26232,21836,59374,58967
FBgn0053629,0,0,0,0
FBgn0053632,0,0,4,2
FBgn0053721,0,0,0,1
FBgn0040606,26,5,10,9
FBgn0066084,207242,326134,227545,138005
FBgn0083167,5280,5232,11460,8372
FBgn0031414,3,2,8,3
FBgn0034903,1601,1751,5339,7844
FBgn0001297,2361,2874,3055,4124
FBgn0030117,0,0,0,0
FBgn0032763,2617,2858,2641,2404
FBgn0052500,0,0,0,0
FBgn0024963,2,0,0,2
FBgn0036210,511,567,778,625
FBgn0032536,0,0,0,1
FBgn0020880,0,0,0,0
FBgn0032812,1647,1070,4137,3666
FBgn0001149,14679,10581,75729,64499
FBgn0035766,15411,16159,18508,18021
FBgn0034314,4393,5921,7268,6297
FBgn0034317,0,0,0,0
FBgn0053958,0,1,0,0
FBgn0034315,5433,5384,9086,8331
FBgn0052803,2413,2635,3782,2937
FBgn0031191,2918,2939,3687,3491
FBgn0038131,0,0,0,0
FBgn0031930,0,0,1,0
FBgn0038714,0,0,0,0
FBgn0017579,57263,47146,165796,138319
FBgn0031220,313,373,484,666
FBgn0025388,2798,3137,2557,2406
FBgn0025387,57,49,60,47
FBgn0000152,1965,2039,2837,2695
FBgn0003900,0,0,0,0
FBgn0036685,8023,7741,11951,11388
FBgn0030778,4,8,3,10
FBgn0013799,5471,5391,6301,6111
FBgn0032515,2362,2242,4678,3984
FBgn0052202,902,1128,2044,1675
FBgn0050280,4,7,2,0
FBgn0033712,2107,2507,2256,2092
FBgn0027094,20455,20797,36054,35404
FBgn0039648,0,0,0,0
FBgn0035426,1,0,2,0
FBgn0032551,0,0,0,0
FBgn0028867,0,0,0,0
FBgn0031322,1244,1148,408,435
FBgn0000277,2,1,9,5
FBgn0035945,10407,10726,12287,11322
FBgn0031575,3423,3795,3573,3413
FBgn0034165,0,0,0,0
FBgn0002631,1,0,0,2
FBgn0034009,6435,7493,6664,6788
FBgn0031995,5955,7202,6324,5998
FBgn0036603,0,0,0,0
FBgn0036607,0,0,0,0
FBgn0036609,0,0,0,0
FBgn0004047,18565,12795,61220,48861
FBgn0034415,0,0,0,0
FBgn0067317,3,3,1,2
FBgn0038035,1514,2279,2214,2169
FBgn0014464,12855,3329,30964,28756
FBgn0058172,0,0,0,0
FBgn0025632,739,818,1070,1032
FBgn0011837,10354,12675,17203,18722
FBgn0053963,34,58,25,49
FBgn0036916,1652,1649,2917,2748
FBgn0011272,42904,33583,106662,96348
FBgn0053964,0,0,0,0
FBgn0033453,4529,5947,4682,4680
FBgn0010406,6911,8568,9071,8954
FBgn0036493,224,282,9197,8819
FBgn0003028,22493,24058,35743,35678
FBgn0020372,133,152,174,163
FBgn0032896,0,5,0,2
FBgn0053965,0,0,0,1
FBgn0053966,1,0,2,1
FBgn0031726,2,0,7,2
FBgn0004828,32773,31136,74962,70565
FBgn0053517,0,3,0,0
FBgn0035021,3556,3711,3826,3784
FBgn0000094,0,0,0,0
FBgn0035083,10324,12545,7319,6812
FBgn0037137,26762,26429,40845,41804
FBgn0010241,5,3,6,2
FBgn0002283,5695,5575,6964,6123
FBgn0000355,155090,83588,447710,291721
FBgn0039020,594,615,811,612
FBgn0033075,3735,4180,5761,5903
FBgn0038405,3,2,7,4
FBgn0030863,10837,13524,15034,14189
FBgn0003687,4463,4142,4846,4540
FBgn0051007,0,0,0,0
FBgn0032157,12696,14458,17808,17392
FBgn0043841,636,443,3915,3695
FBgn0034820,1,1,0,0
FBgn0010265,75638,80077,176147,170073
FBgn0022893,94014,105726,224882,205637
FBgn0037385,1,0,0,0
FBgn0052857,0,0,0,0
FBgn0032391,1006,1084,929,954
FBgn0045759,9,7,7,13
FBgn0036374,5827,4956,5978,5876
FBgn0034566,2,4,0,3
FBgn0031285,12159,13172,21683,23096
FBgn0004050,4103,3619,5342,4973
FBgn0004644,11,14,7,12
FBgn0031765,0,0,4,1
FBgn0030522,938,682,1364,1253
FBgn0038647,6,1,3,5
FBgn0028540,779,897,1437,1518
FBgn0000459,3,8,23,25
FBgn0038980,1,0,11,3
FBgn0000529,0,0,0,3
FBgn0010607,3404,4436,5365,4565
FBgn0003943,11334,14169,16489,15090
FBgn0050072,0,0,0,0
FBgn0052072,0,0,0,0
FBgn0052056,4412,4722,6333,6263
FBgn0035258,0,0,0,0
FBgn0040719,0,0,0,0
FBgn0015773,19,11,19,21
FBgn0003002,6,0,8,12
FBgn0039369,0,1,0,0
FBgn0037326,8,6,5,15
FBgn0004087,1741,2352,4597,3403
FBgn0033631,26618,23919,41931,36807
FBgn0000370,8608,13377,7636,7610
FBgn0026433,7609,7720,7928,7479
FBgn0053969,2408,3070,3111,2872
FBgn0025683,9989,12544,18579,21924
FBgn0039366,0,0,0,0
FBgn0004363,64043,66598,154915,142294
FBgn0036680,1,0,3,2
FBgn0039370,2,0,0,0
FBgn0013263,1171,1471,1360,1523
FBgn0036306,2261,3357,2837,2614
FBgn0260479,0,3,0,0
FBgn0038547,191,251,175,194
FBgn0024941,4,10,7,1
FBgn0053970,522,668,1008,1706
FBgn0014396,1573,2281,2600,2679
FBgn0013765,9453,10045,10977,10776
FBgn0031270,827,1277,1588,1278
FBgn0016977,17909,21788,18513,19695
FBgn0016930,5492,6312,8339,9210
FBgn0031971,2829,2193,7879,6266
FBgn0031619,0,0,0,0
FBgn0010488,73875,77597,103882,110928
FBgn0033781,1729,1439,2737,2414
FBgn0011205,4738,5302,5277,5252
FBgn0053971,60,67,83,99
FBgn0020381,1144,1289,1783,1800
FBgn0035209,1935,2201,5753,4173
FBgn0037525,1215,1389,1106,1270
FBgn0031623,90,120,168,114
FBgn0004911,0,0,0,0
FBgn0053309,0,0,0,0
FBgn0011937,0,0,0,0
FBgn0011936,0,0,0,0
FBgn0000406,32,35,61,61
FBgn0004052,5,1,1,2
FBgn0039544,6330,6080,7699,7472
FBgn0014869,8698,6262,24584,22236
FBgn0013720,3398,3230,3831,3638
FBgn0003638,8492,7365,13056,13125
FBgn0000276,11,5,16,9
FBgn0041624,0,0,0,0
FBgn0041623,0,0,0,0
FBgn0010438,5803,6136,8816,7783
FBgn0021764,8555,11021,11928,12331
FBgn0040099,10,9,16,7
FBgn0004618,0,0,0,0
FBgn0029854,2128,1973,4615,3398
FBgn0000278,0,0,1,0
FBgn0038002,0,0,0,0
FBgn0051274,14,21,16,14
FBgn0038427,6370,6414,6597,6161
FBgn0035976,109,127,102,148
FBgn0039454,0,0,1,0
FBgn0027514,2376,2334,2439,2359
FBgn0038063,497,640,807,675
FBgn0053977,506,875,1366,896
FBgn0053978,34,41,202,378
FBgn0000551,1,0,1,0
FBgn0032130,5508,6094,5815,5418
FBgn0035879,4468,5208,5310,5260
FBgn0035880,244,232,287,263
FBgn0038717,0,0,1,0
FBgn0001091,28121,21652,69833,62627
FBgn0031261,3,0,23,18
FBgn0040795,0,0,7,1
FBgn0031859,3,0,0,0
FBgn0001125,21359,19411,38100,35397
FBgn0024983,2971,2696,4737,4340
FBgn0000640,0,0,0,0
FBgn0037764,2,0,1,1
FBgn0050087,1,0,0,0
FBgn0053460,11,5,10,16
FBgn0053461,0,1,0,0
FBgn0053462,0,0,0,0
FBgn0025741,26278,40604,40526,43039
FBgn0000044,1370,1696,2517,2674
FBgn0031504,3,0,0,0
FBgn0034495,978,760,1926,1753
FBgn0032898,0,1,1,0
FBgn0039925,27,46,46,64
FBgn0033104,1230,1062,1978,1710
FBgn0026086,3999,5633,5277,5092
FBgn0036203,3,0,3,3
FBgn0028741,0,0,0,0
FBgn0010339,8722,9544,11933,10606
FBgn0053983,0,6,3,5
FBgn0053985,0,1,0,1
FBgn0053986,0,0,0,0
FBgn0003300,0,0,1,3
FBgn0037635,59,88,126,107
FBgn0040508,1,0,0,0
FBgn0053987,1,0,1,0
FBgn0028979,35,46,63,51
FBgn0053988,4,0,5,8
FBgn0052176,4032,5006,4975,4898
FBgn0053082,153,179,285,288
FBgn0032023,0,0,0,0
FBgn0052088,43,65,75,63
FBgn0026575,16395,15464,21729,22093
FBgn0067905,2,1,2,7
FBgn0037812,14,14,12,20
FBgn0036793,0,0,0,0
FBgn0036799,0,0,0,0
FBgn0025637,20768,25470,35464,32721
FBgn0000552,0,0,0,0
FBgn0032151,0,2,0,0
FBgn0038575,7118,7432,7861,6984
FBgn0043791,0,0,1,4
FBgn0000055,27,19,56,47
FBgn0034978,0,2,0,0
FBgn0039229,6292,5677,9081,8984
FBgn0032259,3667,4491,3972,3479
FBgn0032815,7069,9750,7958,7690
FBgn0052023,0,0,0,0
FBgn0030898,0,0,0,0
FBgn0052625,1491,1926,3254,2812
FBgn0010240,5,5,2,0
FBgn0051693,0,2,3,0
FBgn0029526,44,43,226,192
FBgn0003366,688,715,1016,1365
FBgn0041789,6145,6169,7594,7279
FBgn0035000,1,0,0,1
FBgn0013718,12705,15122,16476,16512
FBgn0030984,0,0,12,14
FBgn0039736,78,20,263,224
FBgn0022359,325,185,4066,2795
FBgn0024250,238,238,534,520
FBgn0020906,0,0,0,0
FBgn0030336,11680,10488,18062,17067
FBgn0031762,738,840,1555,1929
FBgn0000719,1348,1335,10165,10237
FBgn0026749,2924,3460,4007,3573
FBgn0032626,0,0,0,0
FBgn0029589,2,0,2,1
FBgn0030581,2977,3233,4208,3943
FBgn0050383,27,38,282,231
FBgn0030874,1375,1127,1590,1512
FBgn0030262,5,10,6,11
FBgn0004643,8663,6504,12429,11625
FBgn0034997,143,117,6850,6146
FBgn0000320,546,508,1793,2125
FBgn0029836,1,1,2,1
FBgn0036599,0,0,2,0
FBgn0045842,3062,3480,950,1030
FBgn0053093,2,13,10,8
FBgn0027101,7732,11690,11178,10993
FBgn0039924,7267,12022,16585,14187
FBgn0053993,0,1,3,5
FBgn0034563,0,0,2,2
FBgn0040344,2521,2758,2906,2799
FBgn0034121,1,0,1,0
FBgn0004463,3245,3966,4580,4741
FBgn0031515,16,13,14,15
FBgn0053301,0,0,1,0
FBgn0030542,0,1,0,0
FBgn0014903,0,0,0,0
FBgn0037046,18,34,44,28
FBgn0053995,0,0,0,0
FBgn0034286,10,16,4,7
FBgn0032955,14848,19828,17405,16667
FBgn0050098,0,1,1,0
FBgn0032405,90,111,152,165
FBgn0029608,233,234,89,96
FBgn0031637,4660,4575,8456,8286
FBgn0034139,4,3,2,5
FBgn0030897,2,0,0,2
FBgn0031945,0,0,0,0
FBgn0015664,6743,7484,7182,7326
FBgn0039592,0,0,0,0
FBgn0053679,3,14,14,7
FBgn0053258,0,4,1,0
FBgn0053544,0,0,0,0
FBgn0053998,0,0,1,0
FBgn0054001,647,666,1408,1141
FBgn0054002,4,4,18,13
FBgn0054003,0,0,1,0
FBgn0040658,146,256,269,387
FBgn0054005,0,0,0,0
FBgn0053772,0,0,0,0
FBgn0053294,28,75,74,48
FBgn0053773,3,0,0,0
FBgn0053775,0,1,0,0
FBgn0053658,1,8,5,2
FBgn0054006,1,0,0,0
FBgn0054007,0,0,2,0
FBgn0054008,379,563,713,609
FBgn0054010,45,52,106,116
FBgn0054011,0,0,0,0
FBgn0054012,2,0,2,3
FBgn0054015,1511,2257,2130,1847
FBgn0054021,0,1,1,0
FBgn0054024,0,0,0,0
FBgn0054025,0,0,0,0
FBgn0054026,0,0,1,0
FBgn0054027,4,1,4,12
FBgn0054028,0,0,0,0
FBgn0054029,0,2,0,0
FBgn0054030,0,0,0,0
FBgn0054031,10,23,27,19
FBgn0054033,0,0,1,0
FBgn0054034,8,6,2,7
FBgn0038156,4,4,2,1
FBgn0053635,686,1044,1179,1124
FBgn0053465,1,0,1,0
FBgn0053798,0,0,0,0
FBgn0054038,0,0,3,4
FBgn0054039,1277,1624,2078,1619
FBgn0054040,0,0,0,0
FBgn0054041,0,0,0,0
FBgn0065110,13,4,9,7
FBgn0054043,2,3,7,4
FBgn0054044,0,0,0,0
FBgn0054045,0,0,0,0
FBgn0054046,26,23,71,81
FBgn0054047,0,0,0,0
FBgn0054049,0,0,0,0
FBgn0054051,0,0,0,0
FBgn0054052,1,0,0,1
FBgn0054054,0,0,2,1
FBgn0065108,0,0,0,0
FBgn0065109,0,0,0,0
FBgn0054056,24,18,46,50
FBgn0054057,17,13,28,19
FBgn0260453,0,0,0,0
FBgn0260454,0,0,0,0
FBgn0052529,2219,2159,3069,3228
FBgn0013696,2,1,0,0
FBgn0013703,0,0,1,1
FBgn0013700,0,0,0,0
FBgn0013680,1413,876,9762,5918
FBgn0013709,3,3,32,25
FBgn0013690,2,2,4,6
FBgn0013710,0,7,7,8
FBgn0013674,305095,326860,896467,786217
FBgn0013699,4,3,7,3
FBgn0013675,89905,101031,255672,218434
FBgn0013697,136,177,189,119
FBgn0013691,0,0,1,0
FBgn0013673,18,27,12,17
FBgn0013672,61458,50480,267932,236299
FBgn0013676,192202,215263,627471,517523
FBgn0013694,50,16,252,276
